,Unnamed: 0,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
19800,19800,37, Private,281751, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
19801,19801,28, Private,263128, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,60, United-States, <=50K
19802,19802,26, Private,292692, 12th,8, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico, <=50K
19803,19803,47, Self-emp-inc,96798, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,80, United-States, >50K
19804,19804,34, Private,430554, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
19805,19805,42, Private,317078, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
19806,19806,48, Private,108557, Bachelors,13, Married-civ-spouse, Tech-support, Wife, White, Female,99999,0,40, United-States, >50K
19807,19807,32, Private,207400, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
19808,19808,35, Private,187089, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,42, United-States, >50K
19809,19809,46, Local-gov,398986, Doctorate,16, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,52, United-States, >50K
19810,19810,38, Private,238980, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
19811,19811,49, ?,407495, HS-grad,9, Married-spouse-absent, ?, Not-in-family, White, Male,0,0,70, United-States, <=50K
19812,19812,35, Private,183800, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
19813,19813,61, ?,226989, HS-grad,9, Divorced, ?, Not-in-family, White, Male,4865,0,40, United-States, <=50K
19814,19814,45, Private,287190, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,35, United-States, <=50K
19815,19815,31, Private,111363, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
19816,19816,52, Self-emp-inc,260938, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
19817,19817,20, Private,183594, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,50, United-States, <=50K
19818,19818,64, ?,49194, 11th,7, Married-civ-spouse, ?, Husband, White, Male,0,0,30, United-States, <=50K
19819,19819,20, ?,117618, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States, <=50K
19820,19820,24, Private,172496, Masters,14, Never-married, Tech-support, Not-in-family, White, Male,0,0,50, United-States, <=50K
19821,19821,29, Private,389713, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
19822,19822,23, Private,174413, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
19823,19823,34, State-gov,189843, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
19824,19824,54, Private,198546, Masters,14, Widowed, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
19825,19825,21, Private,82497, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
19826,19826,23, Private,193090, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
19827,19827,79, Private,172220, 7th-8th,4, Widowed, Priv-house-serv, Not-in-family, White, Female,2964,0,30, United-States, <=50K
19828,19828,55, Private,208451, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
19829,19829,42, ?,234277, HS-grad,9, Married-spouse-absent, ?, Not-in-family, White, Male,0,0,35, United-States, <=50K
19830,19830,60, Private,163729, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,2597,0,40, United-States, <=50K
19831,19831,37, Private,434097, Assoc-acdm,12, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
19832,19832,47, Private,192053, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,1590,40, United-States, <=50K
19833,19833,20, State-gov,178628, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
19834,19834,53, Private,96827, Bachelors,13, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Canada, <=50K
19835,19835,34, Private,154667, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
19836,19836,43, Private,160246, Some-college,10, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
19837,19837,24, Self-emp-not-inc,166036, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
19838,19838,23, Private,186813, HS-grad,9, Never-married, Protective-serv, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
19839,19839,29, Private,162312, Assoc-voc,11, Never-married, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, United-States, <=50K
19840,19840,58, Private,183893, Some-college,10, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
19841,19841,55, ?,270228, Assoc-acdm,12, Married-civ-spouse, ?, Husband, Black, Male,7688,0,40, United-States, >50K
19842,19842,40, Private,111829, Masters,14, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
19843,19843,43, Federal-gov,175669, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
19844,19844,25, State-gov,104097, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
19845,19845,23, Local-gov,117618, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,24, United-States, <=50K
19846,19846,34, Self-emp-inc,202450, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
19847,19847,26, Private,109570, Some-college,10, Separated, Sales, Unmarried, White, Female,0,0,35, United-States, <=50K
19848,19848,60, Private,101096, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,65, United-States, >50K
19849,19849,39, Private,236391, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
19850,19850,21, Private,136975, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
19851,19851,45, Private,167523, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2179,45, United-States, <=50K
19852,19852,33, Private,240979, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
19853,19853,26, Private,248612, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,70, United-States, >50K
19854,19854,39, Private,151023, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,114,0,45, United-States, <=50K
19855,19855,29, Private,236436, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White, Female,8614,0,40, United-States, >50K
19856,19856,29, ?,153167, Some-college,10, Never-married, ?, Own-child, Black, Female,0,0,40, United-States, <=50K
19857,19857,52, Private,61735, 11th,7, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
19858,19858,34, Private,243165, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,30, United-States, >50K
19859,19859,24, Private,388885, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,48, United-States, <=50K
19860,19860,77, Self-emp-inc,84979, Doctorate,16, Married-civ-spouse, Farming-fishing, Husband, White, Male,20051,0,40, United-States, >50K
19861,19861,34, Self-emp-not-inc,87209, Masters,14, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
19862,19862,53, Self-emp-not-inc,168539, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
19863,19863,31, Private,179013, HS-grad,9, Separated, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
19864,19864,58, Private,196643, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,0,15, United-States, <=50K
19865,19865,50, Self-emp-not-inc,68898, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,7688,0,55, United-States, >50K
19866,19866,32, Private,156464, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19867,19867,57, Private,35884, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
19868,19868,32, Private,182714, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
19869,19869,77, Private,344425, 9th,5, Married-civ-spouse, Priv-house-serv, Wife, Black, Female,0,0,10, United-States, <=50K
19870,19870,37, Self-emp-not-inc,177277, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
19871,19871,51, Private,70767, HS-grad,9, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,0,0,40, United-States, <=50K
19872,19872,33, Self-emp-not-inc,520078, Assoc-acdm,12, Divorced, Sales, Unmarried, Black, Male,0,0,60, United-States, <=50K
19873,19873,53, Local-gov,321770, HS-grad,9, Married-spouse-absent, Transport-moving, Other-relative, White, Female,0,0,35, United-States, <=50K
19874,19874,32, Private,158416, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
19875,19875,30, Private,312667, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19876,19876,19, Private,208656, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,594,0,20, United-States, <=50K
19877,19877,33, Private,31481, Bachelors,13, Married-spouse-absent, Other-service, Unmarried, White, Female,0,0,24, United-States, <=50K
19878,19878,31, Private,259531, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
19879,19879,28, Private,186239, Some-college,10, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
19880,19880,19, Private,162954, 12th,8, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
19881,19881,27, Private,249315, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
19882,19882,21, Private,308237, 5th-6th,3, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, <=50K
19883,19883,24, Private,103064, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
19884,19884,46, Private,185847, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,54, United-States, <=50K
19885,19885,31, Private,168521, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
19886,19886,60, Private,198170, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
19887,19887,21, Private,353628, 10th,6, Separated, Sales, Unmarried, Black, Female,0,0,38, United-States, <=50K
19888,19888,38, ?,273285, 11th,7, Never-married, ?, Not-in-family, White, Female,0,0,32, United-States, <=50K
19889,19889,31, Private,272069, Assoc-voc,11, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
