,Unnamed: 0,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
24000,24000,23, Private,112819, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
24001,24001,41, Private,152636, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Female,0,0,50, United-States, <=50K
24002,24002,63, ?,301611, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,20, United-States, <=50K
24003,24003,51, Private,134808, HS-grad,9, Separated, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
24004,24004,49, Private,64216, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,90, United-States, <=50K
24005,24005,29, State-gov,214284, Masters,14, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,20, Taiwan, <=50K
24006,24006,25, Private,469572, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,8614,0,40, United-States, >50K
24007,24007,44, Self-emp-not-inc,282722, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,50, United-States, >50K
24008,24008,17, Private,231439, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
24009,24009,42, Self-emp-inc,120277, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
24010,24010,21, Private,364685, 11th,7, Never-married, Tech-support, Own-child, White, Female,0,0,35, United-States, <=50K
24011,24011,26, Private,18827, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
24012,24012,24, Private,169129, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
24013,24013,30, Private,202051, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, >50K
24014,24014,58, ?,353244, Bachelors,13, Widowed, ?, Unmarried, White, Female,27828,0,50, United-States, >50K
24015,24015,19, Private,574271, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,28, United-States, <=50K
24016,24016,65, State-gov,29276, 7th-8th,4, Widowed, Other-service, Other-relative, White, Female,0,0,24, United-States, <=50K
24017,24017,52, Self-emp-not-inc,104501, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States, >50K
24018,24018,17, Private,394176, 10th,6, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
24019,24019,27, Private,85625, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,22, United-States, <=50K
24020,24020,53, Private,340723, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
24021,24021,24, Private,149342, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
24022,24022,37, Private,73715, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
24023,24023,34, Private,143083, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,18, United-States, <=50K
24024,24024,40, Local-gov,290660, Assoc-acdm,12, Divorced, Exec-managerial, Not-in-family, White, Male,8614,0,50, United-States, >50K
24025,24025,49, Local-gov,98738, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
24026,24026,86, Private,149912, Masters,14, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
24027,24027,49, Private,309033, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Wife, White, Female,15024,0,60, United-States, >50K
24028,24028,43, Self-emp-not-inc,96129, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,60, United-States, <=50K
24029,24029,47, Private,216096, Some-college,10, Married-spouse-absent, Exec-managerial, Unmarried, White, Female,0,0,35, Puerto-Rico, <=50K
24030,24030,32, Private,171091, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
24031,24031,30, Self-emp-not-inc,79303, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
24032,24032,25, Local-gov,182380, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
24033,24033,42, Private,36271, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
24034,24034,60, Private,118197, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,65, United-States, <=50K
24035,24035,46, Private,269652, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,38, United-States, >50K
24036,24036,39, Local-gov,193815, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
24037,24037,28, Private,141957, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,0,1887,70, United-States, >50K
24038,24038,26, Private,222637, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,55, Puerto-Rico, <=50K
24039,24039,27, Private,118230, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
24040,24040,59, Private,174040, Some-college,10, Divorced, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
24041,24041,64, State-gov,105748, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
24042,24042,90, Self-emp-not-inc,82628, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,2964,0,12, United-States, <=50K
24043,24043,51, Private,205100, Some-college,10, Divorced, Sales, Not-in-family, White, Female,0,0,45, United-States, >50K
24044,24044,36, Private,107916, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2002,40, United-States, <=50K
24045,24045,39, Private,130620, 7th-8th,4, Married-spouse-absent, Machine-op-inspct, Unmarried, Other, Female,0,0,40, Dominican-Republic, <=50K
24046,24046,30, ?,361817, HS-grad,9, Never-married, ?, Own-child, White, Male,0,0,25, United-States, <=50K
24047,24047,47, Self-emp-not-inc,235646, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
24048,24048,32, Private,53277, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
24049,24049,24, Private,456460, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
24050,24050,23, Private,293091, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,30, United-States, <=50K
24051,24051,62, Private,210935, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,20, United-States, <=50K
24052,24052,48, ?,199763, Some-college,10, Married-civ-spouse, ?, Wife, White, Female,0,0,20, United-States, <=50K
24053,24053,62, ?,223447, 12th,8, Divorced, ?, Not-in-family, White, Male,0,0,40, Canada, <=50K
24054,24054,35, Self-emp-not-inc,233533, Bachelors,13, Separated, Craft-repair, Not-in-family, White, Male,0,0,65, United-States, <=50K
24055,24055,27, Private,95647, Bachelors,13, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
24056,24056,49, Private,199763, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States, <=50K
24057,24057,18, Private,74539, 10th,6, Never-married, Sales, Not-in-family, White, Male,0,0,20, United-States, <=50K
24058,24058,19, Private,84610, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,30, United-States, <=50K
24059,24059,63, Self-emp-inc,96930, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
24060,24060,54, Private,115602, HS-grad,9, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, United-States, <=50K
24061,24061,24, Private,237341, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
24062,24062,61, Private,143800, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
24063,24063,50, Self-emp-inc,163921, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, >50K
24064,24064,36, Private,68273, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
24065,24065,21, Private,113163, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, United-States, <=50K
24066,24066,38, Self-emp-inc,478829, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,50, United-States, >50K
24067,24067,30, Private,345705, Some-college,10, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,40, United-States, <=50K
24068,24068,22, Private,385077, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,2907,0,40, United-States, <=50K
24069,24069,33, Private,192286, Some-college,10, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,52, United-States, <=50K
24070,24070,39, Local-gov,236391, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States, >50K
24071,24071,42, Private,106679, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
24072,24072,47, ?,308242, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
24073,24073,42, Local-gov,46094, Bachelors,13, Divorced, Transport-moving, Not-in-family, White, Male,0,0,33, United-States, <=50K
24074,24074,29, Private,194940, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
24075,24075,35, Private,341643, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,55, United-States, <=50K
24076,24076,23, Private,210474, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,30, United-States, <=50K
24077,24077,28, Private,76313, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
24078,24078,34, Private,115858, HS-grad,9, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
24079,24079,40, Private,55191, Some-college,10, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
24080,24080,67, Self-emp-not-inc,364862, HS-grad,9, Widowed, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
24081,24081,49, Private,334787, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
24082,24082,34, Private,205733, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
24083,24083,60, ?,120163, Bachelors,13, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
24084,24084,26, Private,333677, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,2463,0,35, United-States, <=50K
24085,24085,25, Private,208591, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
24086,24086,40, Private,341204, Some-college,10, Divorced, Exec-managerial, Unmarried, White, Female,1831,0,30, United-States, <=50K
24087,24087,56, Self-emp-not-inc,115422, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
24088,24088,35, Self-emp-inc,111319, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,0,1887,45, United-States, >50K
24089,24089,54, Private,816750, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2051,40, United-States, <=50K
24090,24090,25, Private,167835, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,3325,0,40, United-States, <=50K
24091,24091,28, Private,92262, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
24092,24092,31, Private,91964, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
24093,24093,45, Private,107682, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
24094,24094,52, State-gov,135388, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,5013,0,40, United-States, <=50K
24095,24095,39, Self-emp-not-inc,597843, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Columbia, <=50K
24096,24096,19, Private,389942, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
24097,24097,23, Private,442274, 12th,8, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
24098,24098,23, Private,595461, 7th-8th,4, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico, <=50K
24099,24099,52, Private,284329, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
24100,24100,33, Self-emp-not-inc,127894, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
24101,24101,35, Private,196899, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Haiti, <=50K
24102,24102,58, Private,212534, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24103,24103,61, Private,71209, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
24104,24104,39, Private,237943, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,70, United-States, >50K
24105,24105,38, Private,190759, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24106,24106,59, Private,100313, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,40, United-States, >50K
24107,24107,41, Private,344624, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, >50K
24108,24108,27, ?,194024, 9th,5, Separated, ?, Unmarried, White, Female,0,0,50, United-States, <=50K
24109,24109,19, Private,87497, 11th,7, Never-married, Transport-moving, Other-relative, White, Male,0,0,10, United-States, <=50K
24110,24110,22, Private,236907, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
24111,24111,59, Private,169639, Assoc-acdm,12, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
24112,24112,37, Private,105803, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,3103,0,45, United-States, >50K
24113,24113,31, Private,149507, 12th,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, United-States, <=50K
24114,24114,18, Private,294387, 11th,7, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
24115,24115,20, Private,161708, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
24116,24116,28, Private,282389, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
24117,24117,28, Private,64940, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,30, United-States, <=50K
24118,24118,49, Private,195727, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
24119,24119,38, Local-gov,37931, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
24120,24120,19, Private,170720, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
24121,24121,43, Private,152958, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, >50K
24122,24122,28, Private,312372, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15024,0,40, United-States, >50K
24123,24123,41, Private,39581, Some-college,10, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,24, El-Salvador, <=50K
24124,24124,50, Private,206862, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, >50K
24125,24125,46, Private,216934, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Portugal, <=50K
24126,24126,20, Private,143062, Some-college,10, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
24127,24127,45, Private,242391, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
24128,24128,28, Private,165030, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
24129,24129,37, Private,199251, Some-college,10, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
24130,24130,46, Self-emp-not-inc,353012, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,50, United-States, >50K
24131,24131,66, Private,174491, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
24132,24132,35, ?,333305, Some-college,10, Married-civ-spouse, ?, Own-child, White, Female,0,0,40, United-States, <=50K
24133,24133,38, Private,203138, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,50, United-States, >50K
24134,24134,25, Private,220220, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,45, United-States, <=50K
24135,24135,55, Federal-gov,305850, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
24136,24136,48, Local-gov,273402, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,40, United-States, <=50K
24137,24137,56, Private,201344, Some-college,10, Widowed, Craft-repair, Unmarried, White, Female,0,0,38, United-States, <=50K
24138,24138,47, Self-emp-not-inc,218676, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
24139,24139,55, Self-emp-not-inc,141807, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
24140,24140,41, State-gov,222434, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
24141,24141,47, Private,266860, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, >50K
24142,24142,40, Private,34113, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,6849,0,43, United-States, <=50K
24143,24143,41, Private,159549, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
24144,24144,21, Private,195248, Some-college,10, Never-married, Sales, Own-child, Other, Female,0,0,20, United-States, <=50K
24145,24145,52, Private,109413, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
24146,24146,62, Private,195343, Doctorate,16, Divorced, Prof-specialty, Unmarried, White, Male,15020,0,50, United-States, >50K
24147,24147,46, Private,185291, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, >50K
24148,24148,21, ?,140012, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,20, United-States, <=50K
24149,24149,35, Self-emp-not-inc,114366, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
24150,24150,29, Private,169631, HS-grad,9, Married-spouse-absent, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
24151,24151,21, Private,163870, 10th,6, Married-civ-spouse, Other-service, Husband, White, Male,3908,0,40, United-States, <=50K
24152,24152,35, Private,312232, HS-grad,9, Separated, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
24153,24153,46, Private,229737, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, India, >50K
24154,24154,70, ?,306563, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
24155,24155,35, Private,161637, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,1902,40, Taiwan, >50K
24156,24156,34, Private,106014, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
24157,24157,21, Private,25265, Assoc-voc,11, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,30, United-States, <=50K
24158,24158,29, Private,71860, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
24159,24159,41, Self-emp-inc,94113, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
24160,24160,51, Self-emp-not-inc,208003, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
24161,24161,22, Private,113550, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
24162,24162,47, Private,83046, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
24163,24163,42, Self-emp-inc,277488, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,65, United-States, >50K
24164,24164,19, Private,205830, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,40, El-Salvador, <=50K
24165,24165,46, Private,273575, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,40, United-States, >50K
24166,24166,23, Private,245147, Some-college,10, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, United-States, <=50K
24167,24167,49, Private,274720, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
24168,24168,58, Self-emp-not-inc,163047, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
24169,24169,41, State-gov,47902, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States, >50K
24170,24170,50, Private,128798, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
24171,24171,77, Private,154205, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,10, United-States, <=50K
24172,24172,27, Private,176683, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,60, United-States, <=50K
24173,24173,29, Self-emp-inc,104737, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
24174,24174,54, Private,349340, Preschool,1, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
24175,24175,39, State-gov,218249, Some-college,10, Separated, Prof-specialty, Unmarried, Black, Female,0,0,37, United-States, <=50K
